@babel/code-frame,7.0.0,MIT
@babel/core,7.1.2,MIT
@babel/generator,7.1.2,MIT
@babel/helper-annotate-as-pure,7.0.0,MIT
@babel/helper-builder-binary-assignment-operator-visitor,7.1.0,MIT
@babel/helper-call-delegate,7.1.0,MIT
@babel/helper-define-map,7.1.0,MIT
@babel/helper-explode-assignable-expression,7.1.0,MIT
@babel/helper-function-name,7.1.0,MIT
@babel/helper-get-function-arity,7.0.0,MIT
@babel/helper-hoist-variables,7.0.0,MIT
@babel/helper-member-expression-to-functions,7.0.0,MIT
@babel/helper-module-imports,7.0.0,MIT
@babel/helper-module-transforms,7.1.0,MIT
@babel/helper-optimise-call-expression,7.0.0,MIT
@babel/helper-plugin-utils,7.0.0,MIT
@babel/helper-regex,7.0.0,MIT
@babel/helper-remap-async-to-generator,7.1.0,MIT
@babel/helper-replace-supers,7.1.0,MIT
@babel/helper-simple-access,7.1.0,MIT
@babel/helper-split-export-declaration,7.0.0,MIT
@babel/helper-wrap-function,7.1.0,MIT
@babel/helpers,7.1.2,MIT
@babel/highlight,7.0.0,MIT
@babel/parser,7.1.2,MIT
@babel/plugin-proposal-async-generator-functions,7.1.0,MIT
@babel/plugin-proposal-class-properties,7.1.0,MIT
@babel/plugin-proposal-json-strings,7.0.0,MIT
@babel/plugin-proposal-object-rest-spread,7.0.0,MIT
@babel/plugin-proposal-optional-catch-binding,7.0.0,MIT
@babel/plugin-proposal-unicode-property-regex,7.0.0,MIT
@babel/plugin-syntax-async-generators,7.0.0,MIT
@babel/plugin-syntax-class-properties,7.0.0,MIT
@babel/plugin-syntax-dynamic-import,7.0.0,MIT
@babel/plugin-syntax-import-meta,7.0.0,MIT
@babel/plugin-syntax-json-strings,7.0.0,MIT
@babel/plugin-syntax-object-rest-spread,7.0.0,MIT
@babel/plugin-syntax-optional-catch-binding,7.0.0,MIT
@babel/plugin-transform-arrow-functions,7.0.0,MIT
@babel/plugin-transform-async-to-generator,7.1.0,MIT
@babel/plugin-transform-block-scoped-functions,7.0.0,MIT
@babel/plugin-transform-block-scoping,7.0.0,MIT
@babel/plugin-transform-classes,7.1.0,MIT
@babel/plugin-transform-computed-properties,7.0.0,MIT
@babel/plugin-transform-destructuring,7.1.2,MIT
@babel/plugin-transform-dotall-regex,7.0.0,MIT
@babel/plugin-transform-duplicate-keys,7.0.0,MIT
@babel/plugin-transform-exponentiation-operator,7.1.0,MIT
@babel/plugin-transform-for-of,7.0.0,MIT
@babel/plugin-transform-function-name,7.1.0,MIT
@babel/plugin-transform-literals,7.0.0,MIT
@babel/plugin-transform-modules-amd,7.1.0,MIT
@babel/plugin-transform-modules-commonjs,7.1.0,MIT
@babel/plugin-transform-modules-systemjs,7.0.0,MIT
@babel/plugin-transform-modules-umd,7.1.0,MIT
@babel/plugin-transform-new-target,7.0.0,MIT
@babel/plugin-transform-object-super,7.1.0,MIT
@babel/plugin-transform-parameters,7.1.0,MIT
@babel/plugin-transform-regenerator,7.0.0,MIT
@babel/plugin-transform-shorthand-properties,7.0.0,MIT
@babel/plugin-transform-spread,7.0.0,MIT
@babel/plugin-transform-sticky-regex,7.0.0,MIT
@babel/plugin-transform-template-literals,7.0.0,MIT
@babel/plugin-transform-typeof-symbol,7.0.0,MIT
@babel/plugin-transform-unicode-regex,7.0.0,MIT
@babel/preset-env,7.1.0,MIT
@babel/template,7.1.2,MIT
@babel/traverse,7.1.0,MIT
@babel/types,7.1.2,MIT
@gitlab/csslab,1.8.0,MIT
@gitlab/svgs,1.41.0,MIT
@gitlab/ui,1.15.0,MIT
@sindresorhus/is,0.7.0,MIT
@types/async,2.0.50,MIT
@types/jquery,2.0.48,MIT
@types/node,10.12.9,MIT
@types/semver,5.5.0,MIT
@types/zen-observable,0.8.0,MIT
@vue/component-compiler-utils,2.2.0,MIT
@webassemblyjs/ast,1.7.6,MIT
@webassemblyjs/floating-point-hex-parser,1.7.6,MIT
@webassemblyjs/helper-api-error,1.7.6,MIT
@webassemblyjs/helper-buffer,1.7.6,MIT
@webassemblyjs/helper-code-frame,1.7.6,MIT
@webassemblyjs/helper-fsm,1.7.6,ISC
@webassemblyjs/helper-module-context,1.7.6,MIT
@webassemblyjs/helper-wasm-bytecode,1.7.6,MIT
@webassemblyjs/helper-wasm-section,1.7.6,MIT
@webassemblyjs/ieee754,1.7.6,MIT
@webassemblyjs/leb128,1.7.6,MIT
@webassemblyjs/utf8,1.7.6,MIT
@webassemblyjs/wasm-edit,1.7.6,MIT
@webassemblyjs/wasm-gen,1.7.6,MIT
@webassemblyjs/wasm-opt,1.7.6,MIT
@webassemblyjs/wasm-parser,1.7.6,MIT
@webassemblyjs/wast-parser,1.7.6,MIT
@webassemblyjs/wast-printer,1.7.6,MIT
@xtuc/ieee754,1.2.0,New BSD
@xtuc/long,4.2.1,Apache 2.0
RedCloth,4.3.2,MIT
abbrev,1.0.9,ISC
accepts,1.3.5,MIT
ace-rails-ap,4.1.2,MIT
acorn,5.7.3,MIT
acorn-dynamic-import,3.0.0,MIT
actioncable,5.0.7,MIT
actionmailer,5.0.7,MIT
actionpack,5.0.7,MIT
actionview,5.0.7,MIT
activejob,5.0.7,MIT
activemodel,5.0.7,MIT
activerecord,5.0.7,MIT
activesupport,5.0.7,MIT
acts-as-taggable-on,5.0.0,MIT
addressable,2.5.2,Apache 2.0
aes_key_wrap,1.0.1,MIT
ajv,6.5.3,MIT
ajv-errors,1.0.0,MIT
ajv-keywords,3.2.0,MIT
akismet,2.0.0,MIT
ansi-escapes,1.4.0,MIT
ansi-escapes,3.0.0,MIT
ansi-regex,2.1.1,MIT
ansi-regex,3.0.0,MIT
ansi-styles,2.2.1,MIT
ansi-styles,3.2.1,MIT
anymatch,2.0.0,ISC
apollo-boost,0.1.20,MIT
apollo-cache,1.1.20,MIT
apollo-cache-inmemory,1.3.9,MIT
apollo-client,2.4.5,MIT
apollo-link,1.2.3,MIT
apollo-link-dedup,1.0.10,MIT
apollo-link-error,1.1.1,MIT
apollo-link-http,1.5.5,MIT
apollo-link-http-common,0.2.5,MIT
apollo-link-state,0.4.2,MIT
apollo-utilities,1.0.25,MIT
aproba,1.2.0,ISC
are-we-there-yet,1.1.4,ISC
arel,7.1.4,MIT
arr-diff,4.0.0,MIT
arr-flatten,1.1.0,MIT
arr-union,3.1.0,MIT
array-flatten,1.1.1,MIT
array-uniq,1.0.3,MIT
array-unique,0.3.2,MIT
asana,0.8.1,MIT
asciidoctor,1.5.8,MIT
asciidoctor-plantuml,0.0.8,MIT
asn1.js,4.10.1,MIT
assert,1.4.1,MIT
assign-symbols,1.0.0,MIT
async-each,1.0.1,MIT
async-limiter,1.0.0,MIT
atob,2.1.2,(MIT OR Apache-2.0)
atomic,1.1.99,Apache 2.0
attr_encrypted,3.1.0,MIT
attr_required,1.0.0,MIT
autosize,4.0.0,MIT
axiom-types,0.1.1,MIT
axios,0.17.1,MIT
babel-code-frame,6.26.0,MIT
babel-loader,8.0.4,MIT
babel-polyfill,6.23.0,MIT
babel-runtime,6.26.0,MIT
babel-standalone,6.26.0,MIT
babosa,1.0.2,MIT
balanced-match,1.0.0,MIT
base,0.11.2,MIT
base32,0.3.2,MIT
base64-js,1.2.3,MIT
batch-loader,1.2.2,MIT
bcrypt,3.1.12,MIT
bcrypt_pbkdf,1.0.0,MIT
bfj,6.1.1,MIT
big.js,3.2.0,MIT
binary-extensions,1.11.0,MIT
binaryextensions,2.1.1,MIT
bindata,2.4.3,ruby
bluebird,3.5.1,MIT
bn.js,4.11.8,MIT
body-parser,1.18.2,MIT
bootstrap,4.1.3,MIT
bootstrap-vue,2.0.0-rc.11,MIT
bootstrap_form,2.7.0,MIT
brace-expansion,1.1.11,MIT
braces,2.3.1,MIT
brorand,1.1.0,MIT
browser,2.5.3,MIT
browserify-aes,1.1.1,MIT
browserify-cipher,1.0.0,MIT
browserify-des,1.0.0,MIT
browserify-rsa,4.0.1,MIT
browserify-sign,4.0.4,ISC
browserify-zlib,0.2.0,MIT
browserslist,4.1.1,MIT
buffer,4.9.1,MIT
buffer-from,1.0.0,MIT
buffer-xor,1.0.3,MIT
builder,3.2.3,MIT
builtin-status-codes,3.0.0,MIT
